taxon,locus_counts, total_chars, missing_data,proportion_missing_data,gc_content,at_content,nucleotides,?,-,A,C,G,T,N,R,Y,S,W,K,M,B,D,H,V,.
A270,689,1532827,457902,0.2987303850989055,0.33864943662918257,0.36262017827191195,0.7012696149010945,0,457902,298607,263626,255465,257227,0,0,0,0,0,0,0,0,0,0,0,0
A9887,822,1948668,524322,0.2690668702929386,0.3520594580503195,0.37887367165674196,0.7309331297070615,0,524322,398592,348212,337835,339707,0,0,0,0,0,0,0,0,0,0,0,0
A9890,825,1958571,541333,0.2763918183206021,0.34636834712655296,0.37723983455284493,0.7236081816793979,0,541333,398682,345680,332707,340169,0,0,0,0,0,0,0,0,0,0,0,0
A9891,828,1962495,529818,0.2699716432398554,0.35250637581242245,0.37752198094772216,0.7300283567601447,0,529818,399896,352591,339201,340989,0,0,0,0,0,0,0,0,0,0,0,0
A9892,703,1696711,489558,0.2885335216191797,0.2996450190987151,0.41182145928210523,0.7114664783808203,0,489558,366441,251731,256680,332301,0,0,0,0,0,0,0,0,0,0,0,0
A9894,677,1559110,472016,0.3027470800649088,0.29882240509008345,0.39843051484500774,0.6972529199350912,0,472016,326217,231205,234692,294980,0,0,0,0,0,0,0,0,0,0,0,0
A9898,762,1852423,553066,0.2985635570277415,0.29124449437304545,0.41019194859921304,0.7014364429722585,0,553066,398044,266654,272854,361805,0,0,0,0,0,0,0,0,0,0,0,0
A9899,732,1755851,541771,0.3085518076419924,0.28672535425841944,0.4047228380995882,0.6914481923580076,0,541771,373263,248207,255240,337370,0,0,0,0,0,0,0,0,0,0,0,0
A9900,721,1754027,508766,0.29005596835168446,0.2992205935256413,0.41072343812267426,0.7099440316483155,0,508766,377823,260358,264483,342597,0,0,0,0,0,0,0,0,0,0,0,0
A9901,615,1400126,437587,0.3125340147958112,0.2900831782282452,0.3973828069759436,0.6874659852041888,0,437587,291342,201731,204422,265044,0,0,0,0,0,0,0,0,0,0,0,0
A9903,828,1970979,541267,0.27461834956130937,0.3499768389211656,0.375404811517525,0.7253816504386906,0,541267,399638,351453,338344,340277,0,0,0,0,0,0,0,0,0,0,0,0
A9904,734,1777946,509560,0.28660038043900093,0.3008409704231737,0.4125586491378253,0.7133996195609991,0,509560,383840,265187,269692,349667,0,0,0,0,0,0,0,0,0,0,0,0
A9908,727,1736668,499262,0.2874826967503288,0.3024302860420069,0.41008701720766433,0.7125173032496712,0,499262,374338,260417,264804,337847,0,0,0,0,0,0,0,0,0,0,0,0
A9909,722,1727651,512734,0.2967810049599138,0.29867259070263613,0.4045464043374501,0.7032189950400862,0,512734,367556,255456,260546,331359,0,0,0,0,0,0,0,0,0,0,0,0
A9912,722,1742860,507695,0.29129993229519296,0.2987629528476183,0.40993711485718876,0.7087000677048071,0,507695,374959,257565,263137,339504,0,0,0,0,0,0,0,0,0,0,0,0
B8_4,826,1944036,519164,0.26705472532401664,0.35072241460549086,0.3822228600704925,0.7329452746759834,0,519164,401201,347186,334631,341854,0,0,0,0,0,0,0,0,0,0,0,0
Basidiobolus_heterosporus_B8920_GCA000697455,585,1307138,404526,0.30947459258318555,0.3058338140272871,0.38469159338952735,0.6905254074168145,0,404526,266571,200712,199055,236274,0,0,0,0,0,0,0,0,0,0,0,0
Basidiobolus_meristosporus_B9252_GCA_000697375,573,1348331,376116,0.2789493084413249,0.3368104716126826,0.3842402199459925,0.7210506915586752,0,376116,277951,229452,224680,240132,0,0,0,0,0,0,0,0,0,0,0,0
Basidiobolus_meristosporus_CBS_931-73_GCA_002104905,773,1830045,468019,0.2557417986989391,0.363872473081263,0.3803857282197979,0.7442582013010609,0,468019,376531,339979,325924,319592,0,0,0,0,0,0,0,0,0,0,0,0
Basidiobolus_ranarum_GCA_040143965,756,1791691,518924,0.28962806644672545,0.2992625402482906,0.41110939330498397,0.7103719335532745,0,518924,384968,265632,270554,351613,0,0,0,0,0,0,0,0,0,0,0,0
MH6_3,719,1733947,517962,0.29871847294063775,0.29538792131478064,0.4058936057445816,0.7012815270593622,0,517962,369038,252793,259394,334760,0,0,0,0,0,0,0,0,0,0,0,0
MH8_1,734,1752960,521345,0.29740838353413657,0.296577788426433,0.4060138280394304,0.7025916164658634,0,521345,373527,257396,262493,338199,0,0,0,0,0,0,0,0,0,0,0,0
MH9_1,721,1735269,519955,0.2996394218994288,0.29493237071601003,0.40542820738456115,0.7003605781005712,0,519955,368718,252839,258948,334809,0,0,0,0,0,0,0,0,0,0,0,0
